 District,No.of.Schools,Subject,Class,Boys_participation_no,Girls_part_No,Rural_part,Urbam_part_no,SC_part-no,ST_part_no,OBC_part_no,Gen_part_no,Boys_math_perc,Girls_math_perc,Rural_math_perc,urban_math_perc,SC_math_per,ST_math_per,obc_math_perc,gen_math_perc
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,3,267,250,486,31,196,33,35,253,66.67,65.81,65.88,72.04,61.94,61.01,70.29,69.72
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),61,Mathematics,5,282,289,519,52,195,18,48,310,49.34,50.63,50.06,49.36,51.49,44.44,50.28,49.33
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Bilaspur (h.p.),51,Mathematics,8,472,496,905,63,324,26,69,549,35.59,34.57,35.27,32.17,34.20,41.03,31.98,35.69
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,3,336,338,617,57,224,7,124,319,61.55,63.67,62.29,66.08,60.83,68.57,62.63,63.72
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),61,Mathematics,5,336,292,599,29,198,6,110,314,60.79,55.66,57.99,67.13,55.49,60.00,58.18,60.30
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Hamirpur (h.p.),51,Mathematics,8,446,477,864,59,350,22,196,355,34.45,32.97,33.73,32.99,32.40,31.21,34.22,34.82
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,61,Mathematics,3,273,304,541,36,236,32,156,153,76.12,76.27,76.81,67.04,76.89,73.33,78.25,73.64
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kangra,51,Mathematics,8,468,433,786,115,291,72,324,214,35.38,36.15,36.35,31.65,34.85,35.28,34.07,39.69
 Kullu,61,Mathematics,3,272,333,564,41,263,11,21,310,55.66,56.66,57.19,42.76,52.98,53.33,47.62,59.63
 Kullu,61,Mathematics,3,272,333,564,41,263,11,21,310,55.66,56.66,57.19,42.76,52.98,53.33,47.62,59.63
